"Date","Price","Open","High","Low","Vol.","Change %"
"09/11/2026","85.52","85.77","86.66","85.00","22.52K","-0.35%"
"09/10/2026","85.82","85.50","86.22","84.97","23.56K","0.29%"
"09/09/2026","85.57","85.41","86.40","84.81","26.23K","0.18%"
"09/08/2026","85.42","84.85","86.00","84.66","20.67K","0.80%"
"09/07/2026","84.74","84.20","85.34","83.91","15.43K","0.67%"
"09/04/2026","84.18","83.49","84.91","83.28","22.75K","0.78%"
"09/03/2026","83.53","84.10","84.10","83.02","17.22K","-0.64%"
"09/02/2026","84.07","83.38","84.50","82.74","26.90K","0.88%"
"09/01/2026","83.34","83.08","83.55","81.89","23.80K","0.29%"
"08/31/2026","83.10","82.78","83.39","81.86","15.21K","0.45%"
"08/28/2026","82.73","82.42","83.10","82.31","10.29K","0.38%"
"08/27/2026","82.42","82.84","83.00","82.00","14.07K","-0.31%"
"08/26/2026","82.68","84.50","84.72","82.41","17.35K","-2.06%"
"08/25/2026","84.42","83.70","84.69","83.60","14.48K","0.74%"
"08/24/2026","83.80","82.60","84.43","82.26","18.42K","1.44%"
"08/21/2026","82.61","82.21","83.75","82.10","17.15K","0.19%"
"08/20/2026","82.45","81.81","82.66","81.30","15.69K","0.91%"
"08/19/2026","81.71","81.89","82.78","81.40","17.66K","-0.73%"
"08/18/2026","82.31","81.49","82.41","80.98","15.32K","0.89%"
"08/17/2026","81.58","82.22","82.24","81.10","13.90K","-0.26%"
"08/14/2026","81.79","82.73","83.23","81.72","13.30K","-1.15%"
"08/13/2026","82.74","82.15","82.91","81.62","13.13K","0.91%"
"08/12/2026","81.99","82.71","82.89","81.75","12.82K","-0.55%"
"08/11/2026","82.44","82.20","83.50","81.67","16.24K","0.21%"
"08/10/2026","82.27","83.26","83.34","81.60","17.10K","-1.22%"
"08/07/2026","83.29","81.99","83.77","81.89","17.64K","1.71%"
"08/06/2026","81.89","81.54","82.35","80.97","16.76K","0.99%"
"08/05/2026","81.09","81.27","81.84","80.54","19.36K","-0.31%"
"08/04/2026","81.34","81.18","82.36","80.86","14.51K","0.59%"
"08/03/2026","80.86","81.35","81.68","80.57","15.51K","-0.49%"
"07/31/2026","81.26","82.00","82.69","81.16","13.89K","-0.04%"
"07/30/2026","81.29","81.88","82.50","81.10","15.35K","-0.89%"
"07/29/2026","82.02","82.15","82.75","81.50","14.29K","0.35%"
"07/28/2026","81.73","82.31","82.80","81.03","18.72K","-0.73%"
"07/27/2026","82.33","83.75","84.19","82.00","18.93K","-1.28%"
"07/24/2026","83.40","84.11","84.50","82.82","17.59K","-0.57%"
"07/23/2026","83.88","86.40","86.66","83.48","29.56K","-3.17%"
"07/22/2026","86.63","83.09","86.91","83.09","32.65K","4.12%"
"07/21/2026","83.20","83.95","84.14","82.26","23.60K","-0.08%"
"07/20/2026","83.27","79.20","84.00","78.76","32.28K","5.26%"
"07/17/2026","79.11","78.95","80.98","76.92","35.39K","-0.10%"
"07/16/2026","79.19","80.88","81.18","78.60","26.05K","-2.43%"
"07/15/2026","81.16","81.32","82.18","80.59","25.66K","-0.28%"
"07/14/2026","81.39","80.36","81.58","79.73","22.58K","1.60%"
"07/13/2026","80.11","79.20","80.47","78.41","18.14K","1.15%"
"07/10/2026","79.20","79.04","79.50","78.50","13.21K","0.20%"
"07/09/2026","79.04","79.07","79.43","78.51","17.73K","0.00%"
"07/08/2026","79.04","80.39","80.60","78.36","27.02K","-1.43%"
"07/07/2026","80.19","81.88","81.88","80.03","20.19K","-1.96%"
"07/06/2026","81.79","80.70","82.00","79.80","21.61K","1.48%"
"07/03/2026","80.60","79.47","80.75","79.25","15.71K","1.45%"
"07/02/2026","79.45","79.56","80.15","79.00","13.77K","-0.11%"
"07/01/2026","79.54","79.97","80.26","79.25","13.44K","-0.77%"
"06/30/2026","80.16","79.00","80.66","78.63","18.91K","1.75%"
"06/29/2026","78.78","80.19","80.69","78.31","26.47K","-1.87%"
"06/26/2026","80.28","80.70","81.07","80.01","16.21K","-0.35%"
"06/25/2026","80.56","81.10","82.24","80.44","22.83K","-0.27%"
"06/24/2026","80.78","80.71","81.94","80.15","24.80K","0.09%"
"06/23/2026","80.71","81.75","82.28","80.30","22.51K","-1.05%"
"06/22/2026","81.57","80.50","81.92","79.90","21.37K","2.57%"
"06/19/2026","79.53","78.44","79.61","78.20","1.79K","0.73%"
"06/18/2026","78.95","78.97","79.51","78.60","0.71K","0.27%"
"06/17/2026","78.74","79.29","79.82","78.49","0.45K","-0.09%"
"06/16/2026","78.81","79.00","79.30","78.10","1.14K","-0.23%"
"06/15/2026","78.99","77.15","78.93","76.74","0.96K","3.73%"
"06/12/2026","76.15","76.86","77.25","75.74","0.12K","0.04%"
"06/11/2026","76.12","76.15","76.28","75.50","0.08K","-0.46%"
"06/10/2026","76.47","74.98","76.92","74.60","0.29K","1.78%"
"06/09/2026","75.13","75.68","75.85","74.71","0.18K","-1.03%"
"06/08/2026","75.91","75.45","76.05","75.02","0.72K","0.01%"
"06/05/2026","75.90","75.70","76.52","75.48","7.17K","-0.17%"
"06/04/2026","76.03","77.63","77.69","75.86","2.00K","-1.96%"
"06/03/2026","77.55","78.08","79.22","77.59","1.15K","-1.15%"
"06/02/2026","78.45","78.00","78.38","77.18","2.43K","0.41%"
"06/01/2026","78.13","79.46","79.46","77.63","3.29K","-1.83%"
"05/29/2026","79.59","79.04","79.92","78.89","0.82K","0.59%"
"05/28/2026","79.12","77.49","79.30","77.49","0.71K","1.84%"
"05/27/2026","77.69","77.84","78.68","77.56","1.47K","0.87%"
"05/26/2026","77.02","75.69","77.50","75.69","0.15K","1.68%"
"05/25/2026","75.75","76.00","76.10","75.60","0.12K","-0.20%"
"05/22/2026","75.90","74.20","76.02","74.16","0.14K","2.68%"
"05/21/2026","73.92","74.54","74.59","73.90","0.15K","-0.61%"
"05/20/2026","74.37","74.00","74.76","73.86","0.65K","0.57%"
"05/19/2026","73.95","74.53","74.66","73.59","0.15K","-0.78%"
"05/18/2026","74.53","74.55","75.67","74.54","0.22K","-0.07%"
"05/15/2026","74.58","73.77","74.80","73.77","0.12K","0.69%"
"05/14/2026","74.07","74.26","74.26","73.74","0.17K","0.03%"
"05/13/2026","74.05","73.41","74.07","73.40","0.42K","-0.96%"
"05/12/2026","74.77","75.79","75.97","74.72","1.00K","-1.81%"
"05/11/2026","76.15","73.91","76.32","73.91","0.70K","2.70%"
"05/08/2026","74.15","73.98","74.73","73.96","1.39K","0.05%"
"05/07/2026","74.11","74.10","74.54","74.10","0.69K","-1.21%"
"05/06/2026","75.02","74.71","75.40","74.71","0.61K","0.48%"
"05/05/2026","74.66","72.14","74.72","71.77","1.07K","3.67%"
"05/04/2026","72.02","73.31","73.31","71.86","0.04K","-1.23%"
"05/01/2026","72.92","72.57","74.04","72.57","0.05K","0.19%"
"04/30/2026","72.78","71.78","72.59","71.54","0.01K","0.82%"
"04/29/2026","72.19","74.37","74.37","72.01","0.16K","-2.58%"
"04/28/2026","74.10","73.80","74.63","73.80","0.55K","0.47%"
"04/27/2026","73.75","73.59","74.39","73.51","0.43K","-0.23%"
"04/24/2026","73.92","73.82","74.50","73.68","0.33K","0.09%"
"04/23/2026","73.85","73.26","73.99","73.26","1.56K","0.59%"
