date,power_price_eur_mwh,gas_price_eur_mwh,carbon_price_eur_t,fuel_cost_eur_mwh,carbon_cost_eur_mwh,css
2022-01-03,76.11,80.43399810791016,84.01,160.8679962158203,16.802000000000003,-101.55999621582032
2022-01-04,153.92,88.740997314453125,84.91,177.48199462890625,16.982,-40.54399462890626
2022-01-05,107.87,91.522003173828125,87.58,183.04400634765625,17.516000000000002,-92.69000634765625
2022-01-06,194.1,96.50199890136719,86.74,193.00399780273438,17.348,-16.25199780273438
2022-01-07,167.18,88.17400360107422,85.42,176.34800720214844,17.084,-26.25200720214843
2022-01-10,261.55,84.60700225830078,80.09,169.21400451660156,16.018,76.31799548339845
2022-01-11,255.41,78.73600006103516,81.3,157.4720001220703,16.26,81.67799987792968
2022-01-12,233.32,75.15299987792969,80.01,150.30599975585938,16.002000000000002,67.01200024414061
2022-01-13,180.16,85.45999908447266,80.56,170.9199981689453,16.112000000000002,-6.871998168945318
2022-01-14,178.76,86.970001220703125,82.08,173.94000244140625,16.416,-11.59600244140626
2022-01-18,235.87,78.33399963378906,82.67,156.66799926757813,16.534000000000002,62.66800073242187
2022-01-19,172.18,75.60199737548828,82.09,151.20399475097656,16.418000000000003,4.5580052490234415
2022-01-20,117.7,75.2030029296875,85.59,150.406005859375,17.118000000000002,-49.824005859375
2022-01-21,159.27,78.9800033569336,84.47,157.9600067138672,16.894000000000002,-15.58400671386718
2022-01-24,245.94,93,84.02,186,16.804,43.135999999999996
2022-01-25,297.29,93.582000732421875,87.45,187.16400146484375,17.490000000000002,92.63599853515626
2022-01-26,234.98,91.83699798583984,88.66,183.6739959716797,17.732,33.5740040283203
2022-01-27,120.71,92.3010025024414,89.76,184.6020050048828,17.952,-81.84400500488282
2022-01-28,174.35,92.06199645996094,89.22,184.12399291992188,17.844,-27.617992919921882
2022-01-31,195.2,84.6719970703125,89.24,169.343994140625,17.848,8.00800585937499
2022-02-01,150.25,76.16699981689453,89.52,152.33399963378906,17.904,-19.987999633789062
2022-02-02,140.22,77.35099792480469,94.21,154.70199584960938,18.842,-33.323995849609375
2022-02-03,193.56,80.2229995727539,94.81,160.4459991455078,18.962,14.15200085449219
2022-02-04,132.37,82.6520004272461,96.45,165.3040008544922,19.290000000000003,-52.22400085449219
2022-02-07,84.68,79.595001220703125,96.7,159.19000244140625,19.340000000000003,-93.85000244140625
2022-02-08,137.81,77.30000305175781,96.93,154.60000610351563,19.386000000000003,-36.176006103515626
2022-02-09,165.89,74.41699981689453,90.79,148.83399963378906,18.158,-1.1019996337890774
2022-02-10,192.82,74.352996826171875,90.78,148.70599365234375,18.156000000000002,25.95800634765624
2022-02-11,184.58,77.4260025024414,92.87,154.8520050048828,18.574,11.153994995117198
2022-02-14,102.22,80.77100372314453,91.76,161.54200744628906,18.352,-77.67400744628907
2022-02-15,155,70.91899871826172,91.14,141.83799743652344,18.228,-5.065997436523439
2022-02-16,117.38,69.79499816894531,89.86,139.58999633789063,17.972,-40.18199633789063
2022-02-17,68.64,74.91400146484375,86.44,149.8280029296875,17.288,-98.4760029296875
2022-02-18,117.63,73.76200103759766,89.47,147.5240020751953,17.894000000000002,-47.78800207519532
2022-02-22,123.24,79.78900146484375,89.77,159.5780029296875,17.954,-54.292002929687506
2022-02-23,130.09,88.89099884033203,95.07,177.78199768066406,19.014,-66.70599768066405
2022-02-24,123.39,134.3159942626953,87.03,268.6319885253906,17.406000000000002,-162.64798852539064
2022-02-25,119.96,94.4219970703125,88.14,188.843994140625,17.628,-86.511994140625
2022-02-28,208.3,98.595001220703125,82.21,197.19000244140625,16.442,-5.332002441406239
2022-03-01,241.4,121.67400360107422,68.85,243.34800720214844,13.77,-15.718007202148431
2022-03-02,278.78,165.54299926757813,68.49,331.08599853515625,13.698,-66.00399853515628
2022-03-03,338.2,160.822998046875,67.35,321.64599609375,13.469999999999999,3.0840039062499898
2022-03-04,358.78,192.5500030517578,65.1,385.1000061035156,13.02,-39.34000610351565
2022-03-07,410.1,227.2010040283203,58.3,454.4020080566406,11.66,-55.9620080566406
2022-03-08,487.57,214.5540008544922,68.51,429.1080017089844,13.702000000000002,44.75999829101562
2022-03-09,446.25,155.8800048828125,73.18,311.760009765625,14.636000000000003,119.853990234375
2022-03-10,279.15,126.39900207519531,76.41,252.79800415039063,15.282,11.069995849609352
2022-03-11,80.44,131.22900390625,76.76,262.4580078125,15.352000000000002,-197.3700078125
2022-03-14,281.44,114.52200317382813,78.28,229.04400634765625,15.656,36.73999365234375
2022-03-15,300.54,115.43900299072266,77.43,230.8780059814453,15.486000000000002,54.175994018554704
2022-03-16,245.3,102.62300109863281,78.16,205.24600219726563,15.632,24.42199780273439
2022-03-17,225.41,105.08799743652344,79.89,210.17599487304688,15.978000000000002,-0.74399487304688
2022-03-18,228.9,105.04399871826172,78.89,210.08799743652344,15.778,3.0340025634765677
2022-03-21,205.75,96.302001953125,78.39,192.60400390625,15.678,-2.532003906250001
2022-03-22,236.49,98.74700164794922,80.67,197.49400329589844,16.134,22.86199670410157
2022-03-23,236.53,117.0009994506836,76.6,234.0019989013672,15.32,-12.791998901367187
2022-03-24,238,111.60800170898438,78.24,223.21600341796875,15.648,-0.8640034179687497
2022-03-25,244.38,101.26899719238281,78.6,202.53799438476563,15.719999999999999,26.12200561523437
2022-03-28,221.57,102.54499816894531,80.81,205.08999633789063,16.162000000000003,0.3180036621093656
2022-03-29,250.18,108.38099670410156,81.7,216.76199340820313,16.34,17.078006591796882
2022-03-30,271.03,118.97000122070313,78.31,237.94000244140625,15.662,17.427997558593724
2022-03-31,209.19,125.90599822998047,76.48,251.81199645996094,15.296000000000001,-57.91799645996094
