date,power_price_eur_mwh,gas_price_eur_mwh,carbon_price_eur_t,fuel_cost_eur_mwh,carbon_cost_eur_mwh,css,rolling_mean,rolling_sd,zscore,position,signal_type,css_change,position_held,daily_pnl,cumulative_pnl,baseline_position,baseline_css_change,baseline_daily_pnl,baseline_cumulative_pnl
2022-01-03,76.11,80.43399810791016,84.01,160.8679962158203,16.802000000000003,-101.55999621582032,NA,NA,NA,0,NA,NA,0,0,0,1,NA,-0.25,-0.25
2022-01-04,153.92,88.740997314453125,84.91,177.48199462890625,16.982,-40.54399462890626,NA,NA,NA,0,NA,61.01600158691406,0,0,0,1,61.01600158691406,61.01600158691406,60.76600158691406
2022-01-05,107.87,91.522003173828125,87.58,183.04400634765625,17.516000000000002,-92.69000634765625,NA,NA,NA,0,NA,-52.14601171874999,0,-0,0,1,-52.14601171874999,-52.14601171874999,8.619989868164069
2022-01-06,194.1,96.50199890136719,86.74,193.00399780273438,17.348,-16.25199780273438,NA,NA,NA,0,NA,76.43800854492187,0,0,0,1,76.43800854492187,76.43800854492187,85.05799841308594
2022-01-07,167.18,88.17400360107422,85.42,176.34800720214844,17.084,-26.25200720214843,NA,NA,NA,0,NA,-10.00000939941405,0,-0,0,1,-10.00000939941405,-10.00000939941405,75.05798901367189
2022-01-10,261.55,84.60700225830078,80.09,169.21400451660156,16.018,76.31799548339845,NA,NA,NA,0,NA,102.57000268554688,0,0,0,1,102.57000268554688,102.57000268554688,177.62799169921877
2022-01-11,255.41,78.73600006103516,81.3,157.4720001220703,16.26,81.67799987792968,NA,NA,NA,0,NA,5.360004394531231,0,0,0,1,5.360004394531231,5.360004394531231,182.98799609375
2022-01-12,233.32,75.15299987792969,80.01,150.30599975585938,16.002000000000002,67.01200024414061,NA,NA,NA,0,NA,-14.66599963378907,0,-0,0,1,-14.66599963378907,-14.66599963378907,168.32199645996093
2022-01-13,180.16,85.45999908447266,80.56,170.9199981689453,16.112000000000002,-6.871998168945318,NA,NA,NA,0,NA,-73.88399841308592,0,-0,0,1,-73.88399841308592,-73.88399841308592,94.43799804687501
2022-01-14,178.76,86.970001220703125,82.08,173.94000244140625,16.416,-11.59600244140626,NA,NA,NA,0,NA,-4.724004272460942,0,-0,0,1,-4.724004272460942,-4.724004272460942,89.71399377441406
2022-01-18,235.87,78.33399963378906,82.67,156.66799926757813,16.534000000000002,62.66800073242187,NA,NA,NA,0,NA,74.26400317382813,0,0,0,1,74.26400317382813,74.26400317382813,163.9779969482422
2022-01-19,172.18,75.60199737548828,82.09,151.20399475097656,16.418000000000003,4.5580052490234415,NA,NA,NA,0,NA,-58.109995483398436,0,-0,0,1,-58.109995483398436,-58.109995483398436,105.86800146484376
2022-01-20,117.7,75.2030029296875,85.59,150.406005859375,17.118000000000002,-49.824005859375,NA,NA,NA,0,NA,-54.382011108398444,0,-0,0,1,-54.382011108398444,-54.382011108398444,51.48599035644532
2022-01-21,159.27,78.9800033569336,84.47,157.9600067138672,16.894000000000002,-15.58400671386718,NA,NA,NA,0,NA,34.239999145507824,0,0,0,1,34.239999145507824,34.239999145507824,85.72598950195314
2022-01-24,245.94,93,84.02,186,16.804,43.135999999999996,NA,NA,NA,0,NA,58.72000671386718,0,0,0,1,58.72000671386718,58.72000671386718,144.44599621582032
2022-01-25,297.29,93.582000732421875,87.45,187.16400146484375,17.490000000000002,92.63599853515626,NA,NA,NA,0,NA,49.499998535156266,0,0,0,1,49.499998535156266,49.499998535156266,193.94599475097658
2022-01-26,234.98,91.83699798583984,88.66,183.6739959716797,17.732,33.5740040283203,NA,NA,NA,0,NA,-59.06199450683596,0,-0,0,1,-59.06199450683596,-59.06199450683596,134.88400024414062
2022-01-27,120.71,92.3010025024414,89.76,184.6020050048828,17.952,-81.84400500488282,NA,NA,NA,0,NA,-115.41800903320312,0,-0,0,1,-115.41800903320312,-115.41800903320312,19.46599121093751
2022-01-28,174.35,92.06199645996094,89.22,184.12399291992188,17.844,-27.617992919921882,NA,NA,NA,0,NA,54.226012084960935,0,0,0,1,54.226012084960935,54.226012084960935,73.692003295898445
2022-01-31,195.2,84.6719970703125,89.24,169.343994140625,17.848,8.00800585937499,-0.05240016479492482,58.23680504740465,0.13840742151992644,0,NA,35.62599877929687,0,0,0,1,35.62599877929687,35.62599877929687,109.31800207519532
2022-02-01,150.25,76.16699981689453,89.52,152.33399963378906,17.904,-19.987999633789062,4.026199664306638,53.40999330860036,-0.44961996455125575,0,NA,-27.996005493164052,0,-0,0,1,-27.996005493164052,-27.996005493164052,81.32199658203126
2022-02-02,140.22,77.35099792480469,94.21,154.70199584960938,18.842,-33.323995849609375,4.387199603271482,53.116480139478334,-0.7099716576447686,0,NA,-13.335996215820312,0,-0,0,1,-13.335996215820312,-13.335996215820312,67.98600036621096
2022-02-03,193.56,80.2229995727539,94.81,160.4459991455078,18.962,14.15200085449219,9.729299963378903,47.961857371979576,0.0922128777626767,0,NA,47.47599670410156,0,0,0,1,47.47599670410156,47.47599670410156,115.46199707031252
2022-02-04,132.37,82.6520004272461,96.45,165.3040008544922,19.290000000000003,-52.22400085449219,7.9306998107910145,49.63283075549708,-1.2119941528545755,0,NA,-66.37600170898438,0,-0,0,1,-66.37600170898438,-66.37600170898438,49.08599536132814
2022-02-07,84.68,79.595001220703125,96.7,159.19000244140625,19.340000000000003,-93.85000244140625,4.5508000488281235,54.176766884684824,-1.8162915239973685,1,Long Entry,-41.62600158691406,0,-0.25,-0.25,1,-41.62600158691406,-41.62600158691406,7.45999377441408
2022-02-08,137.81,77.30000305175781,96.93,154.60000610351563,19.386000000000003,-36.176006103515626,-1.07390003051758,52.134803362178374,-0.6732950698815364,1,NA,57.67399633789062,1,57.67399633789062,57.42399633789062,1,57.67399633789062,57.67399633789062,65.1339901123047
2022-02-09,165.89,74.41699981689453,90.79,148.83399963378906,18.158,-1.1019996337890774,-5.212900006103518,48.369310706283656,0.08498984815552464,0,Long Exit,35.07400646972655,1,34.82400646972655,92.24800280761717,1,35.07400646972655,35.07400646972655,100.20799658203126
2022-02-10,192.82,74.352996826171875,90.78,148.70599365234375,18.156000000000002,25.95800634765624,-7.265599700927737,45.953713447013094,0.7229797889324534,0,NA,27.060005981445318,0,0,92.24800280761717,1,27.060005981445318,27.060005981445318,127.26800256347657
2022-02-11,184.58,77.4260025024414,92.87,154.8520050048828,18.574,11.153994995117198,-6.364300042724611,46.138242806954736,0.37969142238770215,0,NA,-14.804011352539042,0,-0,92.24800280761717,1,-14.804011352539042,-14.804011352539042,112.46399121093752
2022-02-14,102.22,80.77100372314453,91.76,161.54200744628906,18.352,-77.67400744628907,-9.668200292968752,48.820509096118194,-1.3929761981676587,0,NA,-88.82800244140627,0,-0,92.24800280761717,1,-88.82800244140627,-88.82800244140627,23.635988769531256
2022-02-15,155,70.91899871826172,91.14,141.83799743652344,18.228,-5.065997436523439,-13.054900201416014,45.79396629218609,0.17445317389456472,0,NA,72.60801000976562,0,0,92.24800280761717,1,72.60801000976562,72.60801000976562,96.24399877929687
2022-02-16,117.38,69.79499816894531,89.86,139.58999633789063,17.972,-40.18199633789063,-15.29190028076172,45.9806830985173,-0.5413163611293005,0,NA,-35.11599890136719,0,-0,92.24800280761717,1,-35.11599890136719,-35.11599890136719,61.12799987792968
2022-02-17,68.64,74.91400146484375,86.44,149.8280029296875,17.288,-98.4760029296875,-17.724500134277346,49.08586404014653,-1.645107086825747,1,Long Entry,-58.294006591796865,0,-0.25,91.99800280761717,1,-58.294006591796865,-58.294006591796865,2.83399328613282
2022-02-18,117.63,73.76200103759766,89.47,147.5240020751953,17.894000000000002,-47.78800207519532,-19.33469990234375,49.538074933271695,-0.5743723834884272,1,NA,50.688000854492174,1,50.688000854492174,142.68600366210933,1,50.688000854492174,50.688000854492174,53.521994140625
2022-02-22,123.24,79.78900146484375,89.77,159.5780029296875,17.954,-54.292002929687506,-24.206100048828127,47.83260856180363,-0.6289831097542159,1,NA,-6.504000854492183,1,-6.504000854492183,136.18200280761715,1,-6.504000854492183,-6.504000854492183,47.01799328613281
2022-02-23,130.09,88.89099884033203,95.07,177.78199768066406,19.014,-66.70599768066405,-32.173199859619146,39.97096453019811,-0.863947073255021,1,NA,-12.41399475097655,1,-12.41399475097655,123.76800805664061,1,-12.41399475097655,-12.41399475097655,34.603998535156265
2022-02-24,123.39,134.3159942626953,87.03,268.6319885253906,17.406000000000002,-162.64798852539064,-41.98429948730469,46.527696473923086,-2.5933733707559137,1,NA,-95.94199084472659,1,-95.94199084472659,27.82601721191402,1,-95.94199084472659,-95.94199084472659,-61.337992309570325
2022-02-25,119.96,94.4219970703125,88.14,188.843994140625,17.628,-86.511994140625,-42.217698944091794,46.74935080060555,-0.9474847123643793,1,NA,76.13599438476564,1,76.13599438476564,103.96201159667966,1,76.13599438476564,76.13599438476564,14.79800207519531
2022-02-28,208.3,98.595001220703125,82.21,197.19000244140625,16.442,-5.332002441406239,-41.103399420166014,47.377045367427904,0.7550364675833688,0,Long Exit,81.17999169921876,1,80.92999169921876,184.8920032958984,1,81.17999169921876,81.17999169921876,95.97799377441407
2022-03-01,241.4,121.67400360107422,68.85,243.34800720214844,13.77,-15.718007202148431,-42.28970007324219,46.368913107099196,0.5730497242780005,0,NA,-10.386004760742193,0,-0,184.8920032958984,1,-10.386004760742193,-10.386004760742193,85.59198901367188
2022-03-02,278.78,165.54299926757813,68.49,331.08599853515625,13.698,-66.00399853515628,-44.59050001831055,46.34571146528509,-0.4620384031192477,0,NA,-50.28599133300786,0,-0,184.8920032958984,1,-50.28599133300786,-50.28599133300786,35.30599768066402
2022-03-03,338.2,160.822998046875,67.35,321.64599609375,13.469999999999999,3.0840039062499898,-42.77010003051758,47.51189410043283,0.9651078915068941,0,NA,69.08800244140627,0,0,184.8920032958984,1,69.08800244140627,69.08800244140627,104.3940001220703
2022-03-04,358.78,192.5500030517578,65.1,385.1000061035156,13.02,-39.34000610351565,-45.44470037841798,45.606319837893885,0.13385632290878233,0,NA,-42.42401000976564,0,-0,184.8920032958984,1,-42.42401000976564,-42.42401000976564,61.96999011230466
2022-03-07,410.1,227.2010040283203,58.3,454.4020080566406,11.66,-55.9620080566406,-45.63160073852539,45.643208974859114,-0.2263295581124748,0,NA,-16.62200195312495,0,-0,184.8920032958984,1,-16.62200195312495,-16.62200195312495,45.34798815917971
2022-03-08,487.57,214.5540008544922,68.51,429.1080017089844,13.702000000000002,44.75999829101562,-38.7011007019043,48.37775602491368,1.7251957480197913,-1,Short Entry,100.72200634765622,0,-0.25,184.6420032958984,1,100.72200634765622,100.72200634765622,146.06999450683594
2022-03-09,446.25,155.8800048828125,73.18,311.760009765625,14.636000000000003,119.853990234375,-30.899600885009768,59.99289916461441,2.512857241750099,-1,NA,75.09399194335938,-1,-75.09399194335938,109.54801135253904,1,75.09399194335938,75.09399194335938,221.1639864501953
